stop_id,stop_name,stop_lat,stop_lon
19929,Dennis Railway Station (Northcote),-37.77918729,145.0082416
19930,Fairfield Railway Station (Fairfield),-37.77917126,145.0169053
19931,Alphington Railway Station (Alphington),-37.77839363,145.0312549
19932,Darebin Railway Station (Ivanhoe),-37.77496341,145.038476
19933,Ivanhoe Railway Station (Ivanhoe),-37.76889674,145.0454252
19934,Eaglemont Railway Station (Eaglemont),-37.76358553,145.0539427
19935,Heidelberg Railway Station (Heidelberg),-37.75707293,145.0606855
19936,Rosanna Railway Station (Rosanna),-37.7428786,145.0661403
19937,Moorabbin Railway Station (Moorabbin),-37.93435329,145.0367383
19938,Patterson Railway Station (Bentleigh),-37.92514919,145.03547
19939,Bentleigh Railway Station (Bentleigh),-37.91742457,145.0369951
19940,McKinnon Railway Station (Mckinnon),-37.91030903,145.038299
19941,Ormond Railway Station (Ormond),-37.90321167,145.0396134
19942,Glen Huntly Railway Station (Glen Huntly),-37.88971946,145.0422229
19943,Caulfield Railway Station (Caulfield East),-37.87745946,145.0425248
19944,Malvern Railway Station (Malvern),-37.8662533,145.0292939
19945,Armadale Railway Station (Armadale),-37.85645238,145.0193255
19946,Toorak Railway Station (Armadale),-37.85077381,145.0139086
19947,Hawksburn Railway Station (South Yarra),-37.84459087,145.0021421
19948,Sandringham Railway Station (Sandringham),-37.95033018,145.0045614
19949,Hampton Railway Station (Hampton),-37.93797681,145.0014706
19950,Brighton Beach Railway Station (Brighton),-37.92648432,144.9891536
19951,Middle Brighton Railway Station (Brighton),-37.91513441,144.9962991
19952,North Brighton Railway Station (Brighton),-37.90488721,145.002605
19953,Gardenvale Railway Station (Brighton),-37.89669508,145.0041684
19954,Elsternwick Railway Station (Elsternwick),-37.88475311,145.0008979
19955,Ripponlea Railway Station (Ripponlea),-37.87590643,144.9952366
19956,Balaclava Railway Station (Balaclava),-37.86948773,144.9935121
19957,Windsor Railway Station (Windsor),-37.85605308,144.9920352
19958,Prahran Railway Station (Prahran),-37.84951848,144.9898599
19959,South Yarra Railway Station (South Yarra),-37.83844935,144.9923422
19960,Upfield Railway Station (Coolaroo),-37.66607779,144.9467399
19961,Gowrie Railway Station (Glenroy),-37.700678,144.9588743
19962,Fawkner Railway Station (Fawkner),-37.71462129,144.960545
19963,Merlynston Railway Station (Coburg North),-37.72093389,144.9613135
19964,Batman Railway Station (Coburg North),-37.73352285,144.9628406
19965,Coburg Railway Station (Coburg),-37.74234502,144.9633363
19966,Moreland Railway Station (Coburg),-37.75448484,144.961823
19967,Anstey Railway Station (Brunswick),-37.76124203,144.960684
19968,Brunswick Railway Station (Brunswick),-37.76772055,144.9595865
19969,Jewell Railway Station (Brunswick),-37.77498702,144.9587169
19970,Royal Park Railway Station (Parkville),-37.78119293,144.9523013
19971,Flemington Bridge Railway Station (North Melbourne),-37.78813995,144.9393233
19972,Macaulay Railway Station (North Melbourne),-37.79426673,144.9361663
19973,North Melbourne Railway Station (West Melbourne),-37.80741877,144.9425698
19974,Clifton Hill Railway Station (Clifton Hill),-37.78865745,144.9954167
19975,Victoria Park Railway Station (Abbotsford),-37.79915782,144.9944514
19976,Collingwood Railway Station (Abbotsford),-37.80452593,144.9937497
19977,North Richmond Railway Station (Richmond),-37.81039836,144.9925003
19978,West Richmond Railway Station (Richmond),-37.81494896,144.9914228
19979,Jolimont-MCG Railway Station (East Melbourne),-37.81652702,144.9840983
19983,Macleod Railway Station (Macleod),-37.7260123,145.0691433
19984,Watsonia Railway Station (Watsonia),-37.71095798,145.0837934
19985,Greensborough Railway Station (Greensborough),-37.70395408,145.1082474
19986,Montmorency Railway Station (Montmorency),-37.71529624,145.1215157
19987,Eltham Railway Station (Eltham),-37.71354967,145.147822
19988,Diamond Creek Railway Station (Diamond Creek),-37.67329744,145.1585062
19989,Wattle Glen Railway Station (Wattle Glen),-37.66396792,145.1816145
19990,Hurstbridge Railway Station (Hurstbridge),-37.63939817,145.1920169
19991,Williamstown Railway Station (Williamstown),-37.86775292,144.9053233
19992,Williamstown Beach Railway Station (Williamstown),-37.86398189,144.8944837
19993,North Williamstown Railway Station (Williamstown),-37.85733348,144.8890695
19994,Newport Railway Station (Newport),-37.84271757,144.8835999
19995,Spotswood Railway Station (Spotswood),-37.83063888,144.8859335
